B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD24SKF12,NK 24/20,460740,9,7,6,0.000006775308143172233,7,0.0455,20,32,32,CD1
ROD25SKF54,NK 25/16,460760,7,4,4,0.000004795325283402237,4,0.0385,16,34,34,CD2
ROD25SKF55,NK 25/20,460780,28,7,4,0.00001987245345162975,6,0.0475,33,47,47,CD1
ROD28SKF7,NK 28/20,460860,12,3,2,0.000007998811065118557,2,0.0575,33,47,47,OO9
ROD28SKF8,NK 28/30,460880,14,11,8,0.000012327113364398143,9,0.088,40,58,58,CD1
ROD29SKF5,NK 29/20 TN,460900,14,6,5,0.000009861690691518515,6,0.053,20,38,38,CD1
ROD30SKF63,NK 30/20 TN,460940,10,4,4,0.000006901793534705452,4,0.0655,33,47,47,CD2
ROD32SKF21,NK 32/20 TN,460980,10,6,2,0.000007735415661870811,5,0.0695,33,47,47,CD2
ROD35SKF41,NK 35/20 TN,461030,57,8,6,0.00003950861551248317,8,0.0726,23,55,57,CD1
ROD35SKF43,NK 35/30 TN,461040,1,1,1,0.0000011383685237989658,1,0.1136,38,55,57,CD9
ROD37SKF,NK 37/20,461060,1,1,1,8.947798988957073E-7,1,0.085,26,55,57,OO9
ROD38SKF8,NK 38/20,461100,9,6,4,0.0000063214896779459055,6,0.087,26,55,57,CD2
ROD40SKF49,NK 40/20 TN,461140,4,1,1,0.000002578356058177145,1,0.085,38,55,57,OO9
ROD40SKF50,NK 40/30,461160,12,8,3,0.000012269430466061565,4,0.134,38,55,57,CD2
ROD45SKF21,NK 45/20 TN,461260,1,1,1,9.229263733852421E-7,1,0.0897,29,65,67,CD9
ROD50SKF31,NK 50/25 TN,461340,3,3,2,0.000004388417608991801,3,0.1485,29,65,67,CD2
ROD110SKF5,NK 110/30,461900,2,2,2,0.000010546588237430529,2,0.674,39,134,136,CD2
ROD20SKF54,NKS 20,462020,2,1,1,0.0000010806856254623882,1,0.0545,33,47,47,CD9
ROD60SKF23,NKS 60,462300,4,2,2,0.000008957876121799003,2,0.356,32,94,96,CD9
ROD12SKF43,NKI 12/16,462720,19,6,2,0.000009596210364234505,5,0.0385,33,47,47,CD9
ROD15SKF28,NKI 15/16,462760,20,6,5,0.000014631996886485608,5,0.0445,33,47,47,CD2
ROD17SKF28,NKI 17/20,462820,1,1,1,0.0000011658200236097466,1,0.0589,33,47,47,OO9
ROD20SKF51,NKI 20/16,462840,4,3,3,0.0000032274624081333315,3,0.056,40,40,40,CD2
ROD20SKF52,NKI 20/20,462860,48,18,10,0.00003519595014347553,13,0.0667,33,47,47,CC1
ROD22SKF17,NKI 22/16,462880,5,3,2,0.000004178187768668732,3,0.0575,33,47,47,CD2
ROD22SKF18,NKI 22/20,462900,1,1,1,0.0000011004924038068757,1,0.0705,33,47,47,CD9
ROD25SKF56,NKI 25/20 TN,462920,68,37,24,0.00006568553176242932,22,0.0785,33,47,47,BC1
ROD25SKF57,NKI 25/30,462940,12,4,4,0.000008809846515224415,4,0.128,40,58,58,CD1
ROD28SKF9,NKI 28/20 TN,462960,1,1,1,6.126201793216046E-7,1,0.0983,33,47,47,CD9
ROD28SKF10,NKI 28/30,462980,1,1,1,0.0000014462423064869645,1,0.156,40,58,58,OO9
ROD30SKF65,NKI 30/20,463000,1,1,1,9.79219322364312E-7,1,0.1158,23,55,57,OO9
ROD30SKF67,NKI 30/30 TN,463020,39,15,5,0.00005106951929355507,9,0.173,38,55,57,CD2
ROD32SKF23,NKI 32/20,463040,1,1,1,0.0000011685999223247627,1,0.128,29,65,67,CD9
ROD35SKF44,NKI 35/20,463080,1,1,1,0.0000013267066617412856,1,0.135,26,55,57,OO9
ROD35SKF46,NKI 35/30,463100,28,12,7,0.000044490541497130836,7,0.205,39,65,67,CD2
ROD40SKF51,NKI 40/20,463200,14,7,3,0.000017997759255690976,6,0.152,29,65,67,CD2
ROD40SKF52,NKI 40/20 TN,463200,8,10,5,0.000011484456566408981,5,0.1405,29,65,67,CC1
ROD40SKF54,NKI 40/30 TN,463260,21,5,2,0.000031501117263880174,5,0.2182,39,65,67,CD1
ROD42SKF6,NKI 42/20,463300,15,8,2,0.0000186055146122613,7,0.1535,29,65,67,CD1
ROD45SKF24,NKI 45/25 TN,463400,6,5,4,0.00001007226801918096,5,0.228,39,65,67,CD2
ROD45SKF25,NKI 45/35,463440,4,3,2,0.000008530814181704705,3,0.334,39,65,67,CD9
ROD45SKF26,NKI 45/35 TN,463440,5,4,3,0.000010543808338715513,4,0.316,39,65,67,CD2
ROD50SKF33,NKI 50/25,463500,16,9,2,0.00002695494040281123,9,0.284,28,76,78,CD9
ROD55SKF13,NKI 55/35,463640,4,6,2,0.00000609701285670838,3,0.397,39,76,78,CD2
ROD60SKF20,NKI 60/25,463700,2,3,1,0.000004243515388471603,2,0.415,32,94,96,CD9
